tool	version
os	Ubuntu 24.04 Noble
ros_distro	jazzy
ros_apt_source	1.2.0~noble
ros_base	0.11.0-1noble.20260616.084325
ros_gz_bridge_prefix	/opt/ros/jazzy
nav2_bringup_prefix	/opt/ros/jazzy
gazebo_sim	8.11.0
colcon_core	0.21.0
cpp_compiler	g++ 13.3.0
cmake	3.28.3
python	3.12.3
go	1.22.2
ruff	0.16.4
clang_format	Ubuntu clang-format version 18.1.3 (1ubuntu1)
clang_tidy	Ubuntu LLVM version 18.1.3
cppcheck	Cppcheck 2.13.0
pre_commit	3.6.2
shellcheck	0.9.0
lintian	Lintian v2.117.0ubuntu1.5
git	2.43.0
